"Place","District(s)","Pop (cutoff 10k)"
"MPELABUSI FARM",13,
"MPELEMBE","11;42",
"MPEMBA","12;42",
"MPEMBAMOTO",39,
"MPENDEKA",22,
"MPENGAULA",1,
"MPENI",24,
"MPEPA",21,
"MPERA",20,
"MPESI",22,
"MPETA","18;23;24",
"MPEZENI",19,
"MPHAISHA",19,
"MPHAMPHA",19,
"MPHOFU",19,
"MPIANAKUNDA",18,
"MPIDI",54,
"MPIGWA",61,
"MPIKWA",3,
"MPILI","1;54",
"MPILWE",24,
"MPIMABUNGA",67,
"MPIMPA",55,
"MPINDI",54,
"MPINDIRA",19,
"MPINGA",4,
"MPINTWA",4,
"MPITA",20,
"MPLELEMBE",15,
"MPOFU",19,
"MPOKA","6;66",
"MPOKO","66;68",
"MPOLELWA",3,
"MPOLOMOMBO",38,
"MPOLOTA",69,
"MPOLOWA",1,
"MPOMA",55,
"MPOMBA",5,
"MPOMBONYA",4,
"MPOMWA","21;22",
"MPONDA","17;19",
"MPONDO","5;21",
"MPONGO",70,
"MPONGOLO","20;21",
"MPONGWE MISSION",14,
"MPOPWA",3,
"MPORO KOSSO",44,
"MPOROKOSO",44,
"MPOSA",24,
"MPOSI",24,
"MPOTO",20,
"MPUKA","3;34",
"MPULA",4,
"MPULO",3,
"MPULUKE",6,
"MPULUKI",67,
"MPULUNGU",45,
"MPUMBA","38;49;54",
"MPUMPUTA",58,
"MPUNDA","21;47",
"MPUNDE",3,
"MPUNDU",39,
"MPUPULWA",14,
"MPUPWA",13,
"MPUSA",24,
"MPUWE",24,
"MPWANCHI",31,
"MPYANA",13,
"MPYANABWALYA",37,
"MRAZI",68,
"MSA",20,
"MSAJEMWA",24,
"MSAKANYA",19,
"MSAKULA",24,
"MSALE",20,
"MSALIWA",17,
"MSALU",21,
"MSANGU",21,
"MSANGWA",20,
"MSELELE",21,
"MSEMPHE",20,
"MSHAMBA",21,
"MSHASHU",19,
"MSHAWA",19,
"MSIKILA",24,
"MSINDAMA",21,
"MSINGA",21,
"MSINJA",17,
"MSINKHILA",24,
"MSINKILA",24,
"MSIRI",24,
"MSITIMALI",21,
"MSITU",18,
"MSOKONI",21,
"MSOLOLA",21,
"MSOLOLO",21,
"MSONDO",24,
"MSORO",22,
"MSUKA",18,
"MSUKWALA",19,
"MSUMANI",6,
"MSUMBI MBAWE",22,
"MSUNGUNIKA",21,
"MSURUKO",37,
"MSWEBE",5,
"MTALALIKA",19,
"MTALASHYA",3,
"MTALE",20,
"MTALI",17,
"MTALIKA","23;24",
"MTALIMANJA",22,
"MTAMBA","19;20",
"MTAMBE",19,
"MTAMGA",52,
"MTANDE",24,
"MTANGA",19,
"MTAPA",20,
"MTAPIRA",21,
"MTAVU",21,
"MTAYA",17,
"MTEKAMA",17,
"MTEKEZA",23,
"MTELA",19,
"MTEMBALIBWE",18,
"MTEMBWE",21,
"MTENDERE",35,
"MTEYA",24,
"MTEYO",19,
"MTHENGOMWACHA",20,
"MTIKA",20,
"MTIMBASONJE",21,
"MTITIMA",1,
"MTIWA",21,
"MTOFWE",43,
"MTOKA",18,
"MTOLILO",16,
"MTOLO",19,
"MTOWE","17;24",
"MTUGA",3,
"MTUKULO",20,
"MTULISHYA",1,
"MTULWA",23,
"MTUMBA",19,
"MTUMPA",24,
"MTUNKA",24,
"MTUNSYA",21,
"MTUPA",43,
"MTUPANYAMA",24,
"MTURULAIZI",24,
"MTUSIA",21,
"MTUTA",24,
"MTWALU",21,
"MTYOLA",24,
"MUALULI",71,
"MUANA",70,
"MUBA",71,
"MUBANDA",69,
"MUBANGA","13;37;41",
"MUBANGAKONI",40,
"MUBAU",67,
"MUBELA",66,
"MUBEMBE",66,
"MUBENDE",29,
"MUBETO",68,
"MUBIANA","66;69;70",
"MUBILI",40,
"MUBINDA",67,
"MUBITA","66;68;69;70;72",
"MUBITA KALUNDE",66,
"MUBITAKALUNDE",69,
"MUBITAMWINDA",71,
"MUBITANA",70,
"MUBONDA","66;69",
"MUBONE",71,
"MUBU",69,
"MUBUKANU",66,
"MUBULU",69,
"MUCHABI AGRICULTURAL STATION",5,
"MUCHABWE",5,
"MUCHALENGA",64,
"MUCHANTA",62,
"MUCHELEKA","41;45",
"MUCHELEMBE",62,
"MUCHEMBELE",38,
"MUCHENGE",29,
"MUCHENJA",39,
"MUCHENJE",1,
"MUCHESU",13,
"MUCHILA",63,
"MUCHILINGWA",40,
"MUCHIMA",49,
"MUCHIMAEZI",66,
"MUCHINCHI",36,
"MUCHINDA",6,
"MUCHINGA","3;35",
"MUCHINGA KUTA",71,
"MUCHINKA",6,
"MUCHOCHOMA",3,
"MUCHOKACHIMONGO",71,
"MUCHOLALINGA",33,
"MUCHOMBO",33,
"MUCHULA",71,
"MUDANYA",70,
"MUDULI",59,
"MUDULULI",67,
"MUEMA",70,
"MUEMBE",5,
"MUFAKA",59,
"MUFANA",59,
"MUFAYA",70,
"MUFAYA KUTA",67,
"MUFLANDI",13,
"MUFOYE",70,
"MUFUBA",53,
"MUFULA",70,
"MUFULI",11,
"MUFUMBO",68,
"MUFUMBWE",51,
"MUFUNGULO",69,
"MUFUNGULWA",69,
"MUFUSA",13,
"MUFUWA",53,
"MUFUYA",70,
"MUFUZHI",63,
"MUFWA",18,
"MUFWAYA","12;58",
"MUFWEBA",5,
"MUFWEKELA",68,
"MUFWESHIA",32,
"MUFWIE",37,
"MUFWINDA",49,
"MUFYENI",12,
"MUGALOLO",62,
"MUGAMYA",56,
"MUGONDE",21,
"MUGOTI",13,
"MUGOTO",61,
"MUGUENKA",53,
"MUHALA",67,
"MUHALE",69,
"MUHANGA","54;66",
"MUHATA",66,
"MUHATO",66,
"MUHETO",48,
"MUHIENJO",69,
"MUHINI",68,
"MUHITANGANI",52,
"MUHONGO","59;67;68",
"MUIMBA",18,
"MUIMUI","66;69",
"MUJALANYANA",59,
"MUJAYA",67,
"MUJIKA",12,
"MUJIMANZOVU",53,
"MUJIMBEJI",52,
"MUJIWA",71,
"MUKA",65,
"MUKABA","66;68",
"MUKABABU",71,
"MUKABE","1;31",
"MUKABI",35,
"MUKABILA",68,
"MUKACHI",70,
"MUKAI",53,
"MUKALA",38,
"MUKALAMBA",47,
"MUKALIANA",71,
"MUKALIMA",69,
"MUKALULA",40,
"MUKAMA",42,
"MUKAMAMBO","3;67",
"MUKAMBA",68,
"MUKAMBI",52,
"MUKAMBO",70,
"MUKAMBU",40,
"MUKAMULIMBA",1,
"MUKAMULOMO",1,
"MUKAMUMBA",3,
"MUKAMWAMI",3,
"MUKAMYAKANGA",56,
"MUKANA",72,
"MUKANDA","45;54",
"MUKANDAKUNDA",54,
"MUKANDAMINA",67,
"MUKANDAWA",40,
"MUKANGA","37;44;69",
"MUKANGANI",52,
"MUKANGASA",3,
"MUKANGU",69,
"MUKANGWA",3,
"MUKANGWE",68,
"MUKANKO",40,
"MUKANSO",52,
"MUKANTERE",66,
"MUKAPEMBI",38,
"MUKAPOMUKAU",3,
"MUKASA",46,
"MUKASANGA",43,
"MUKATA",70,
"MUKATAMWENE",3,
"MUKATE",52,
"MUKAVE",31,
"MUKAWO",2,
"MUKECHE",67,
"MUKELA","70;72",
"MUKELABAI","66;68;69;70;71",
"MUKELEKETA",51,
"MUKELEKETE",68,
"MUKELEKI",71,
"MUKELETO",66,
"MUKENA","66;72",
"MUKENAMONGI",69,
"MUKENDENGE",54,
"MUKENDWA",71,
"MUKENELEKWA",69,
"MUKENGAMI",71,
"MUKENGE","54;66",
"MUKENI",55,
"MUKENU",66,
"MUKESHA",69,
"MUKETA",67,
"MUKETE",66,
"MUKETI",12,
"MUKETOYE",70,
"MUKETWA",71,
"MUKINGA",68,
"MUKINGE",50,
"MUKIYO",67,
"MUKOBEKO","2;3",
"MUKOBELA",59,
"MUKOBELA SCHOOL",63,
"MUKOBO",67,
"MUKOBOLA",1,
"MUKOKA",67,
"MUKOKE",67,
"MUKOKO",69,
"MUKOKWA",70,
"MUKOLIMA",69,
"MUKOLOBA",27,
"MUKOLOSO",6,
"MUKOLWE",13,
"MUKOMANDOLO",42,
"MUKOMBO",53,
"MUKOMBWE MISSION",5,
"MUKONDA","66;71",
"MUKONDO",68,
"MUKONDOLA",27,
"MUKONGA",56,
"MUKONGO","66;70",
"MUKONKA","1;6;69",
"MUKONO",67,
"MUKONSHI",53,
"MUKOPA","2;6;44",
"MUKOPE",70,
"MUKOPEKOPE",5,
"MUKOPOLA",32,
"MUKOPORA",14,
"MUKOSHA",66,
"MUKOSHO",49,
"MUKOSHYA CHITA",6,
"MUKOSIKU",69,
"MUKOSIVUMBA",55,
"MUKOTI",69,
"MUKOWA",44,
"MUKOWERA",33,
"MUKOYO",39,
"MUKUBA","10;69",
"MUKUBELA",5,
"MUKUBESA",66,
"MUKUBU",5,
"MUKUBWE",3,
"MUKUBWE-TIKI",1,
"MUKUDAMI",69,
"MUKUKA",7,
"MUKUKU","6;21;70",
"MUKUKUTU",13,
"MUKUKUTWA",13,
"MUKUKWE",38,
"MUKULA",39,
"MUKULAIKWA",5,
"MUKULI",72,
"MUKULISHO",68,
"MUKULU",68,
"MUKULUBUNGO",67,
"MUKULUBWE",43,
"MUKULULU",55,
"MUKULWA MUTIYO",71,
"MUKULWAKASHIKO",69,
"MUKULWAMBULA",69,
"MUKULWAMWANDI",69,
"MUKUMA",44,
"MUKUMBA","18;38",
"MUKUMBE",47,
"MUKUMBI","3;67",
"MUKUMBI LUBINGA",53,
"MUKUMBILA",71,
"MUKUMBU",67,
"MUKUMBUTA",69,
"MUKUME",40,
"MUKUMENA",68,
"MUKUMI",44,
"MUKUMWAKUMWA",71,
"MUKUNA",66,
"MUKUNASHI",50,
"MUKUNCHANI",68,
"MUKUNDA",70,
"MUKUNDELONDE",38,
"MUKUNDI",46,
"MUKUNGU","66;67;70",
"MUKUNGUBUKA",66,
"MUKUNGULE",43,
"MUKUNGWA",66,
"MUKUNI","1;3;59",
"MUKUNKU","6;52",
"MUKUNSA",44,
"MUKUNTANSELA",42,
"MUKUNYA",32,
"MUKUPA",24,
"MUKUPA KAOMA",44,
"MUKUPA KATANDULA",39,
"MUKUSHE",67,
"MUKUSHI",16,
"MUKUSUNGA",42,
"MUKUSWANE",71,
"MUKUTA",69,
"MUKUTI",70,
"MUKUTULA",71,
"MUKUWA","1;54;68;69",
"MUKUWAMBA",20,
"MUKUWE","67;70",
"MUKUYOYA",69,
"MUKUYU",71,
"MUKVIU",66,
"MUKWAKWA","25;66;67;69;70",
"MUKWALA","68;70",
"MUKWAMA",24,
"MUKWAMANDI","66;71",
"MUKWAMBA","1;5",
"MUKWAMBI",66,
"MUKWANGWA","68;71",
"MUKWANTA",21,
"MUKWANYA",1,
"MUKWASHI",1,
"MUKWASILUME",66,
"MUKWATO",68,
"MUKWAVI",38,
"MUKWE",71,
"MUKWELAKASASA",63,
"MUKWEMBA",67,
"MUKWENA",30,
"MUKWENDA",5,
"MUKWENDI",5,
"MUKWENJE",66,
"MUKWERAFUNGWE",5,
"MUKWIKILE",37,
"MUKWITA","54;68;69",
"MUKWOKWO",71,
"MULABO",1,
"MULAFU",71,
"MULAKO","68;70;71",
"MULAKU",54,
"MULAKWA",31,
"MULALA","29;66",
"MULALABUNGU",1,
"MULALO",24,
"MULALU",57,
"MULAMATA","16;67",
"MULAMBA","34;43;47;67",
"MULAMBAKAZA",54,
"MULAMBI",38,
"MULAMBWA","62;69",
"MULAMBWE",5,
"MULAMBWESA",69,
"MULAMFU","59;71",
"MULAMPA",33,
"MULANDA",48,
"MULANDEMA",5,
"MULANDO",1,
"MULANDOLA",54,
"MULANGI",48,
"MULANGU",72,
"MULANSHI",3,
"MULAPANE",71,
"MULAPANI","66;71",
"MULATA",18,
"MULAULI","69;71",
"MULAUSHI",40,
"MULAVU",63,
"MULAYA",6,
"MULAYO","67;68",
"MULEBA",32,
"MULEFU",38,
"MULEKA",67,
"MULEKATEMBO",38,
"MULEKELWA",13,
"MULEKWA",45,
"MULELA","1;6",
"MULELE","59;66;72",
"MULELE KUTA",72,
"MULELE ZAMBWE",71,
"MULELEKWA",71,
"MULELEMBA",12,
"MULELEMELE",68,
"MULELEWA",32,
"MULELO",6,
"MULEMA",46,
"MULEMALE",47,
"MULEMBA","17;52",
"MULEMBO",38,
"MULEMBWA",47,
"MULEME",69,
"MULEMENA",67,
"MULEMI","57;59",
"MULEMU",55,
"MULEMWA","70;72",
"MULENA MBOWANJIKANA",66,
"MULENA MUKWAE",70,
"MULENDA",67,
"MULENDEMA",5,
"MULENGA","5;42;46;67",
"MULENGA BARTON",45,
"MULENGA-KASOFU",40,
"MULENGA-SABE",40,
"MULENGO",6,
"MULENGU",39,
"MULENGWA",71,
"MULENGWE",43,
"MULEPU",66,
"MULETELELWA",38,
"MULETWA",66,
"MULEWA",43,
"MULEYA",38,
"MULEZA","54;62",
"MULIATA",67,
"MULIFE","69;71",
"MULIKELELA",68,
"MULIKITA","6;66",
"MULILA",49,
"MULILANE",69,
"MULILANGOMBE",24,
"MULILANSOLO",37,
"MULILE",69,
"MULILIMA",6,
"MULILO","3;6;12;19;46;68;69",
"MULIMA","19;67",
"MULIMASHIBA",57,
"MULIMBA","13;67",
"MULIMBIKA",3,
"MULIMBO",24,
"MULIMBU",24,
"MULIMBULA",48,
"MULIMBWA",57,
"MULIMO",67,
"MULINDA","6;18;24",
"MULINDANGOMBE",24,
"MULINDI",70,
"MULIOKELA","70;71",
"MULIRANGOMBE",24,
"MULISE",69,
"MULITE",69,
"MULITIKITA",66,
"MULIWANA",69,
"MULIYA",66,
"MULOBEKA",1,
"MULOBELA","67;69",
"MULOBEZI",71,
"MULOBOLA",40,
"MULOFWA",32,
"MULOJI",48,
"MULOKA",54,
"MULOLA","5;69",
"MULOLO",22,
"MULOMBA",54,
"MULOMBELWA",46,
"MULOMBERAN",46,
"MULOMBWA","18;38",
"MULOMBWE","54;66",
"MULOMO",69,
"MULONDA",70,
"MULONDA SIWILA",38,
"MULONDOLA",54,
"MULONGA","43;53;67",
"MULONGAMESHA",56,
"MULONGO","23;51",
"MULONGOTI",3,
"MULONGWE","31;66;69",
"MULONSHA",1,
"MULONU",45,
"MULOPAHATUNDU",43,
"MULOPE",66,
"MULOPWE","18;50;53",
"MULOPWI",53,
"MULOSI",69,
"MULOSYA",18,
"MULOTA",71,
"MULOWA","49;67",
"MULOWE",38,
"MULOWENU",54,
"MULOZI",69,
"MULU UMI",67,
"MULUALA",72,
"MULUBISHA",69,
"MULUBULA",27,
"MULUGUSHI",11,
"MULUIULI",71,
"MULUKWA",53,
"MULULI",5,
"MULULOWERA",32,
"MULULU",70,
"MULULUMA",1,
"MULULUMI",67,
"MULULWE",71,
"MULUMBA","21;24;25",
"MULUMBAKANYI","54;67",
"MULUMBAMI",67,
"MULUMBO",69,
"MULUMBONI",68,
"MULUMBWA",41,
"MULUMIKA",40,
"MULUMISHILUBO",5,
"MULUMWESI",42,
"MULUNDA",53,
"MULUNDANO","51;71",
"MULUNDU","29;52",
"MULUNDUKILA",69,
"MULUNGA",32,
"MULUNGU",48,
"MULUNGUSHI","3;5;15;35;67",
"MULUNGWA",65,
"MULUNGWE","4;24",
"MULUPA",71,
"MULUPUISHYO",1,
"MULUPUSHO",1,
"MULUPWISHO",1,
"MULUTI","70;71",
"MULUTULA","42;45",
"MULUTULA MACHINA",45,
"MULUWA",50,
"MULUWE",71,
"MULUYA",50,
"MULWANI",59,
"MULWEI",67,
"MULYABANTU",37,
"MULYANYUNGU",24,
"MULYONGO",1,
"MUMA",19,
"MUMAMALEPU",69,
"MUMAMBA","21;37",
"MUMANA",26,
"MUMBA","5;7;13;24;45",
"MUMBABWALYA",31,
"MUMBALANGA",39,
"MUMBALI",66,
"MUMBANO",66,
"MUMBANYU",68,
"MUMBEJI",54,
"MUMBEJI SCHOOL",49,
"MUMBEYI",68,
"MUMBEZHI",54,
"MUMBI",24,
"MUMBILI",66,
"MUMBULA","66;69;70",
"MUMBUNA",67,
"MUMBURUMA",61,
"MUMBWALA",67,
"MUMBWE","29;38",
"MUMEMBE",42,
"MUMENA","46;53",
"MUMKUNKA",2,
"MUMPITA",3,
"MUMPOLOKOSO",44,
"MUMPU","31;71",
"MUMUNI",32,
"MUMWASA",68,
"MUNALAWA",4,
"MUNALI",35,
"MUNALUCHENO",57,
"MUNALULA",70,
"MUNAMOTA",69,
"MUNAMPAMBA",55,
"MUNAMPELU",57,
"MUNAMUNJI",63,
"MUNAMWALA",62,
"MUNANGISA",70,
"MUNARURA",66,
"MUNASANGA",38,
"MUNAULA",71,
"MUNDALA",21,
"MUNDALANGA",18,
"MUNDALE",70,
"MUNDANDAMO",70,
"MUNDANDAMU",54,
"MUNDANDWE","54;67;68",
"MUNDANYA",67,
"MUNDENDEMI",68,
"MUNDIA",68,
"MUNDIA TAPO",66,
"MUNDIYA","66;71",
"MUNDOKA",4,
"MUNDOMBO",70,
"MUNDONGA",69,
"MUNDONGO","67;70",
"MUNDU",1,
"MUNDUSU",1,
"MUNEMBO",66,
"MUNENA",53,
"MUNENE",72,
"MUNENGA",61,
"MUNENGO MOSONGO",1,
"MUNENGO MOSONSO",1,
"MUNENKANDE",24,
"MUNETA",67,
"MUNGABWE",71,
"MUNGAILA",63,
"MUNGALA",66,
"MUNGAMBWA","70;71",
"MUNGANDI",66,
"MUNGANDU",67,
"MUNGANGA","66;67",
"MUNGANYA",66,
"MUNGAVIELA",21,
"MUNGILI",71,
"MUNGO",66,
"MUNGOLE",66,
"MUNGOLO","6;62",
"MUNGOLUNGWA",68,
"MUNGOMA",39,
"MUNGOMBA","48;66;67;68;71;72",
"MUNGONDO",48,
"MUNGONDONGO",21,
"MUNGONGO","24;70",
"MUNGONGOLA",54,
"MUNGOTI",13,
"MUNGOWA",66,
"MUNGOZA",24,
"MUNGULABA",37,
"MUNGULE",3,
"MUNGULE COURT",1,
"MUNGULI","66;71",
"MUNGULUBE","18;23;31",
"MUNGUMBE",18,
"MUNGUMINA",68,
"MUNGUNDA",68,
"MUNGUNDU",68,
"MUNGUWA",20,
"MUNGWALA","63;67",
"MUNGWALALA",18,
"MUNGWAMBA",71,
"MUNGWARA",21,
"MUNGWELA",6,
"MUNGWI",46,
"MUNGWIARA",18,
"MUNILOMBA",59,
"MUNINYI",68,
"MUNJAKU",54,
"MUNJITA",68,
"MUNKALAMA",37,
"MUNKANTA",26,
"MUNKOLI",22,
"MUNKOLO",35,
"MUNKONGE",40,
"MUNKONTE",3,
"MUNKULI",32,
"MUNKUMPU",14,
"MUNKUNKU",6,
"MUNKUNTA",43,
"MUNKUPA",67,
"MUNLIBI",4,
"MUNONGO",70,
"MUNONO",21,
"MUNSA",1,
"MUNSHA METENTA",6,
"MUNSNI",39,
"MUNSUMUNSU",71,
"MUNTA",62,
"MUNTANDA",12,
"MUNTANGA",59,
"MUNTASHETA",18,
"MUNTE",51,
"MUNTEMBWA",1,
"MUNTETE",41,
"MUNTUNTULA",4,
"MUNTUWALONGA",55,
"MUNTUWAMASIKU",65,
"MUNUKA",46,
"MUNUMEKULE",67,
"MUNUNGA","25;66",
"MUNUNGEYA",66,
"MUNWA",39,
"MUNWE",42,
"MUNYAKAKOMA",69,
"MUNYAKAMBAI",68,
"MUNYAKATONDO",68,
"MUNYAMA","42;45;67",
"MUNYAMBA",72,
"MUNYAMBALE",68,
"MUNYANGA","21;43",
"MUNYANYA",67,
"MUNYAWU",54,
"MUNYE",21,
"MUNYEMA",57,
"MUNYEMBEZA",70,
"MUNYEME",71,
"MUNYENYA",32,
"MUNYIKA",38,
"MUNYOCHI",68,
"MUNYOLOLO",47,
"MUNYONGA",71,
"MUNYONGO",41,
"MUNYUMBI",55,
"MUNYUMBWE","1;56",
"MUNYUNYA",67,
"MUNYUWANYUWE",67,
"MUOBELA",32,
"MUONDA",39,
"MUOYO",70,
"MUPALA",52,
"MUPALU",67,
"MUPAMADZI",43,
"MUPANO",66,
"MUPASHA",54,
"MUPELA",67,
"MUPENGU","55;71",
"MUPESA",37,
"MUPESO",1,
"MUPETA","18;42;67",
"MUPETA KALUKONGE",6,
"MUPETO",18,
"MUPIKA",54,
"MUPILI",50,
"MUPIRI",50,
"MUPITA",67,
"MUPOLELWA",3,
"MUPOPOSHI",26,
"MUPUMANI",57,
"MUPUNDU YOMBWE",45,
"MUPYA","24;32",
"MURUMA",59,
"MURUNDI",15,
"MURUNDU FARM",15,
"MUSA","6;21;22;38;57",
"MUSA CHILEGWA",6,
"MUSAFILI",38,
"MUSAFWA",5,
"MUSAGAMA",38,
"MUSAKA","45;53;54;66",
"MUSAKABANTU","3;5;12",
"MUSAKAMA",38,
"MUSAKANYA",4,
"MUSAKULA",24,
"MUSALA","18;37",
"MUSALANGA",37,
"MUSALE",57,
"MUSALEMO",43,
"MUSALO",67,
"MUSAMBA",18,
"MUSAMPULA",54,
"MUSANGA",4,
"MUSANGALA",52,
"MUSANGAMA",38,
"MUSANGAWALI",38,
"MUSANGU","54;71",
"MUSANSI",39,
"MUSANTA",38,
"MUSANTU",64,
"MUSANYA",67,
"MUSAVU",50,
"MUSEBA",43,
"MUSEFU",5,
"MUSEKAWALYA",38,
"MUSEKULULA",54,
"MUSEKWA",27,
"MUSELA","6;29",
"MUSELE",53,
"MUSEMA",48,
"MUSENDE",62,
"MUSENGE","66;67",
"MUSENGU",38,
"MUSEPA",50,
"MUSESHA",39,
"MUSESHYA",39,
"MUSETA","68;69",
"MUSEVU",67,
"MUSHAKABANTU","51;67",
"MUSHALA",69,
"MUSHAMU",13,
"MUSHANANA",57,
"MUSHANDEKA",71,
"MUSHASHU",68,
"MUSHAUKWA","69;70",
"MUSHAWA LIOMBA",69,
"MUSHEBA","66;70",
"MUSHEHE",68,
"MUSHEHE MUSAMBO",68,
"MUSHEKWA","66;71",
"MUSHELA",38,
"MUSHEMBE",68,
"MUSHEMI",70,
"MUSHEWA",70,
"MUSHIBA",72,
"MUSHIBA MWANDI",68,
"MUSHIBI",49,
"MUSHIDZI",52,
"MUSHIKA",45,
"MUSHIKO",67,
"MUSHILI","3;13;16;54;67",
"MUSHIMA",5,
"MUSHIMBA",12,
"MUSHIMBWE",37,
"MUSHIMOTA",68,
"MUSHIMPA",46,
"MUSHIMPOKI",68,
"MUSHIMPOLO",4,
"MUSHINDAMO",53,
"MUSHINKA",67,
"MUSHINSHI",52,
"MUSHINTULUKI",67,
"MUSHIPASHI",43,
"MUSHIRU",68,
"MUSHITA",67,
"MUSHITU",67,
"MUSHOBO",1,
"MUSHOKABANTU",69,
"MUSHOKE","66;70;72",
"MUSHOKO","1;68",
"MUSHOLA",69,
"MUSHOMANGOLA",69,
"MUSHOMANI",71,
"MUSHONDWA","69;72",
"MUSHONGENTENDE",33,
"MUSHONTO",67,
"MUSHOTA",26,
"MUSHUBU",70,
"MUSHUKALAMBWE",71,
"MUSHUKILA",68,
"MUSHUKULA",72,
"MUSHULU",20,
"MUSHULUNTENDI",32,
"MUSHUNGWA",66,
"MUSHWAKA",70,
"MUSHYALA",13,
"MUSIALETA",68,
"MUSILA",67,
"MUSILI",67,
"MUSIMBWE",42,
"MUSITWANA",66,
"MUSIYA",59,
"MUSOFU",4,
"MUSOKA",43,
"MUSOKO",43,
"MUSOKOTWANE",59,
"MUSOKWANI",70,
"MUSOLA",6,
"MUSOLE",71,
"MUSOLELA",6,
"MUSOLILO",37,
"MUSOMA",40,
"MUSOMANANGA",40,
"MUSONDA",42,
"MUSONGA",13,
"MUSONGO","3;49",
"MUSONKO","1;37;52",
"MUSOPELO","1;32",
"MUSORO",6,
"MUSOSA",39,
"MUSOZIA",59,
"MUSUKAMBALE",32,
"MUSUKU",26,
"MUSUKWA",37,
"MUSULINDI",38,
"MUSULO",71,
"MUSULUMBA",56,
"MUSUMALI",27,
"MUSUMPU",54,
"MUSUMPUKA",33,
"MUSUMUSU",71,
"MUSUNGA","18;48",
"MUSUNGULE",63,
"MUSUNGWA",57,
"MUSUNSU",37,
"MUSUTA",68,
"MUSWABILI",72,
"MUSWAYA",66,
"MUSWELE",67,
"MUSWELWA","3;5",
"MUSWEMA","38;47",
"MUSWILA",52,
"MUSWISHI",1,
"MUSWIZA",54,
"MUTAA",72,
"MUTAAMI",66,
"MUTABAKOMU",59,
"MUTAKA",5,
"MUTAKASHYA",4,
"MUTAKELA",66,
"MUTAKESELI",71,
"MUTAKULA",71,
"MUTAKURI",21,
"MUTALA","66;72",
"MUTALE",6,
"MUTALE LUPUNDU",40,
"MUTALE SATWE",40,
"MUTALELA",21,
"MUTALIKA",4,
"MUTALIMANJA",22,
"MUTALYE",44,
"MUTAMA","6;67",
"MUTAMBANSHIKU",44,
"MUTAMBILA",51,
"MUTAMI",67,
"MUTAMIKA",69,
"MUTAMINA",49,
"MUTAMPUKA",1,
"MUTAMPWA",71,
"MUTAMULAWA",69,
"MUTANDA","40;53;71",
"MUTANDALIKE",55,
"MUTANDULA",3,
"MUTANENA",72,
"MUTANGA","55;68",
"MUTANGAMA",1,
"MUTANGANYI",67,
"MUTANTILO",56,
"MUTANUKA",69,
"MUTANUKO",69,
"MUTANYA",5,
"MUTAPA",45,
"MUTAPU",67,
"MUTAPUKA MISSION",25,
"MUTASA",12,
"MUTATU","68;69",
"MUTAYA",69,
"MUTAYO",1,
"MUTE-NANGATA",46,
"MUTEKA",67,
"MUTELI",5,
"MUTELO",71,
"MUTEMA",19,
"MUTEMBE",66,
"MUTEMI",23,
"MUTEMWA","66;68",
"MUTENGA",2,
"MUTENGAZIKU",71,
"MUTENGE",6,
"MUTENGO",42,
"MUTENTAMI",32,
"MUTENTU",67,
"MUTEPA","69;71",
"MUTEPUKA",32,
"MUTEPWELE",59,
"MUTETAWA",38,
"MUTETO","68;70",
"MUTIKA",67,
"MUTIMBA",57,
"MUTINGINYI",49,
"MUTINKWE",67,
"MUTINTA",61,
"MUTIPE",42,
"MUTIPULA",29,
"MUTITA",67,
"MUTITI",37,
"MUTITIMYA",42,
"MUTITINYA",42,
"MUTIWA",21,
"MUTOBA","40;67",
"MUTOBOLA",67,
"MUTOINOWE",69,
"MUTOKA",59,
"MUTOKOLA",71,
"MUTOLA",66,
"MUTOLILO",13,
"MUTOMBWE",69,
"MUTOMENA",72,
"MUTONDO","41;67;68",
"MUTONDOLA",54,
"MUTONDOWAFUNDA",54,
"MUTONENA",72,
"MUTONGA","48;67;68;71",
"MUTONGO",69,
"MUTONYA",18,
"MUTOSHI",66,
"MUTOWE",4,
"MUTOWEKA",6,
"MUTOYA","5;67",
"MUTOYO",1,
"MUTUABWA",69,
"MUTUBULANA",59,
"MUTUKA",71,
"MUTUKUTA",6,
"MUTUKWA",70,
"MUTULA",70,
"MUTULAMILA",47,
"MUTULWA",67,
"MUTUMBA",70,
"MUTUMBAETWA",70,
"MUTUME",66,
"MUTUMULWANA",69,
"MUTUNA",43,
"MUTUNDI",47,
"MUTUNGI",68,
"MUTUNGUMUNA",66,
"MUTUPA","1;43;51;67",
"MUTUPIKE",42,
"MUTUPILA",23,
"MUTUTWA",70,
"MUTUWANKAI","48;54",
"MUTWALE",14,
"MUTWALE MUSAKANYA",45,
"MUTWALI",52,
"MUTWAMO",66,
"MUTWANEZI",71,
"MUTWANJILI",59,
"MUTWATI",66,
"MUTWE",37,
"MUTWENA",71,
"MUTWEWAKAI","48;54",
"MUTWEWANKOKO",27,
"MUTWI",71,
"MUUMBI",19,
"MUUMI",71,
"MUVETA",54,
"MUVETEKA",38,
"MUVEYETA",66,
"MUVIANA",66,
"MUVOMBO",66,
"MUVULI",67,
"MUVUMA",54,
"MUVUMI",67,
"MUVWALANGUNGA",68,
"MUWALA",3,
"MUWANA",52,
"MUWANEYI",66,
"MUWAWO",6,
"MUWAYO",71,
"MUWELA",70,
"MUWEMA",66,
"MUWENJE",24,
